# time	tot_poly_A	free_poly_A	tot_poly_B	free_poly_B
3.900000e-01 6.000000e+02 1.229000e+02 6.000000e+02 1.262000e+02
3.950000e-01 6.000000e+02 1.223000e+02 6.000000e+02 1.250000e+02
4.000000e-01 6.000000e+02 1.273000e+02 6.000000e+02 1.304000e+02
4.050000e-01 6.000000e+02 1.299000e+02 6.000000e+02 1.254000e+02
4.100000e-01 6.000000e+02 1.269000e+02 6.000000e+02 1.288000e+02
4.150000e-01 6.000000e+02 1.286000e+02 6.000000e+02 1.294000e+02
4.200000e-01 6.000000e+02 1.313000e+02 6.000000e+02 1.258000e+02
4.250000e-01 6.000000e+02 1.291000e+02 6.000000e+02 1.256000e+02
4.300000e-01 6.000000e+02 1.294000e+02 6.000000e+02 1.280000e+02
4.350000e-01 6.000000e+02 1.344000e+02 6.000000e+02 1.362000e+02
4.400000e-01 6.000000e+02 1.314000e+02 6.000000e+02 1.266000e+02
4.450000e-01 6.000000e+02 1.287000e+02 6.000000e+02 1.319000e+02
4.500000e-01 6.000000e+02 1.265000e+02 6.000000e+02 1.280000e+02
4.550000e-01 6.000000e+02 1.272000e+02 6.000000e+02 1.287000e+02
4.600000e-01 6.000000e+02 1.328000e+02 6.000000e+02 1.303000e+02
4.650000e-01 6.000000e+02 1.312000e+02 6.000000e+02 1.283000e+02
4.700000e-01 6.000000e+02 1.313000e+02 6.000000e+02 1.291000e+02
4.750000e-01 6.000000e+02 1.322000e+02 6.000000e+02 1.274000e+02
4.800000e-01 6.000000e+02 1.268000e+02 6.000000e+02 1.273000e+02
4.850000e-01 6.000000e+02 1.286000e+02 6.000000e+02 1.277000e+02
4.900000e-01 6.000000e+02 1.319000e+02 6.000000e+02 1.311000e+02
4.950000e-01 6.000000e+02 1.330000e+02 6.000000e+02 1.304000e+02
5.000000e-01 6.000000e+02 1.259000e+02 6.000000e+02 1.312000e+02
