# time	tot_Nck	free_Nck	tot_NWASP	free_NWASP	tot_Nephrin	free_Nephrin	cluster_123
9.500000e-02 6.000000e+02 2.023000e+02 3.000000e+02 4.350000e+01 2.000000e+02 1.301000e+02 4.740000e+01
1.000000e-01 6.000000e+02 2.062000e+02 3.000000e+02 4.420000e+01 2.000000e+02 1.306000e+02 4.650000e+01
1.050000e-01 6.000000e+02 2.016000e+02 3.000000e+02 4.430000e+01 2.000000e+02 1.317000e+02 4.550000e+01
1.100000e-01 6.000000e+02 1.939000e+02 3.000000e+02 4.430000e+01 2.000000e+02 1.286000e+02 4.660000e+01
1.150000e-01 6.000000e+02 1.937000e+02 3.000000e+02 4.270000e+01 2.000000e+02 1.309000e+02 4.520000e+01
1.200000e-01 6.000000e+02 1.999000e+02 3.000000e+02 4.390000e+01 2.000000e+02 1.319000e+02 4.400000e+01
1.250000e-01 6.000000e+02 1.995000e+02 3.000000e+02 4.440000e+01 2.000000e+02 1.332000e+02 4.310000e+01
1.300000e-01 6.000000e+02 2.055000e+02 3.000000e+02 4.520000e+01 2.000000e+02 1.342000e+02 4.340000e+01
1.350000e-01 6.000000e+02 2.051000e+02 3.000000e+02 4.420000e+01 2.000000e+02 1.347000e+02 4.340000e+01
1.400000e-01 6.000000e+02 1.995000e+02 3.000000e+02 4.550000e+01 2.000000e+02 1.312000e+02 4.410000e+01
1.450000e-01 6.000000e+02 2.073000e+02 3.000000e+02 4.620000e+01 2.000000e+02 1.332000e+02 4.090000e+01
1.500000e-01 6.000000e+02 2.013000e+02 3.000000e+02 4.630000e+01 2.000000e+02 1.315000e+02 4.160000e+01
1.550000e-01 6.000000e+02 2.019000e+02 3.000000e+02 4.630000e+01 2.000000e+02 1.305000e+02 4.420000e+01
1.600000e-01 6.000000e+02 2.036000e+02 3.000000e+02 4.740000e+01 2.000000e+02 1.339000e+02 4.370000e+01
1.650000e-01 6.000000e+02 1.991000e+02 3.000000e+02 4.610000e+01 2.000000e+02 1.307000e+02 4.430000e+01
1.700000e-01 6.000000e+02 2.004000e+02 3.000000e+02 4.470000e+01 2.000000e+02 1.359000e+02 4.120000e+01
1.750000e-01 6.000000e+02 1.983000e+02 3.000000e+02 4.340000e+01 2.000000e+02 1.316000e+02 4.370000e+01
1.800000e-01 6.000000e+02 1.940000e+02 3.000000e+02 4.510000e+01 2.000000e+02 1.348000e+02 4.230000e+01
1.850000e-01 6.000000e+02 1.990000e+02 3.000000e+02 4.380000e+01 2.000000e+02 1.333000e+02 4.230000e+01
1.900000e-01 6.000000e+02 2.018000e+02 3.000000e+02 4.430000e+01 2.000000e+02 1.300000e+02 4.460000e+01
1.950000e-01 6.000000e+02 2.066000e+02 3.000000e+02 4.510000e+01 2.000000e+02 1.332000e+02 4.230000e+01
2.000000e-01 6.000000e+02 2.044000e+02 3.000000e+02 4.540000e+01 2.000000e+02 1.324000e+02 4.440000e+01
2.050000e-01 6.000000e+02 2.032000e+02 3.000000e+02 4.520000e+01 2.000000e+02 1.317000e+02 4.540000e+01
2.100000e-01 6.000000e+02 2.028000e+02 3.000000e+02 4.590000e+01 2.000000e+02 1.280000e+02 4.680000e+01
2.150000e-01 6.000000e+02 2.028000e+02 3.000000e+02 4.340000e+01 2.000000e+02 1.303000e+02 4.440000e+01
2.200000e-01 6.000000e+02 2.015000e+02 3.000000e+02 4.710000e+01 2.000000e+02 1.294000e+02 4.370000e+01
2.250000e-01 6.000000e+02 2.038000e+02 3.000000e+02 4.540000e+01 2.000000e+02 1.323000e+02 4.260000e+01
2.300000e-01 6.000000e+02 2.089000e+02 3.000000e+02 4.830000e+01 2.000000e+02 1.338000e+02 4.310000e+01
2.350000e-01 6.000000e+02 2.008000e+02 3.000000e+02 4.290000e+01 2.000000e+02 1.315000e+02 4.660000e+01
2.400000e-01 6.000000e+02 2.017000e+02 3.000000e+02 4.360000e+01 2.000000e+02 1.304000e+02 4.470000e+01
2.450000e-01 6.000000e+02 1.995000e+02 3.000000e+02 4.400000e+01 2.000000e+02 1.327000e+02 4.290000e+01
2.500000e-01 6.000000e+02 1.985000e+02 3.000000e+02 4.240000e+01 2.000000e+02 1.325000e+02 4.300000e+01
2.550000e-01 6.000000e+02 1.971000e+02 3.000000e+02 4.310000e+01 2.000000e+02 1.316000e+02 4.330000e+01
2.600000e-01 6.000000e+02 1.947000e+02 3.000000e+02 4.480000e+01 2.000000e+02 1.307000e+02 4.230000e+01
2.650000e-01 6.000000e+02 1.974000e+02 3.000000e+02 4.250000e+01 2.000000e+02 1.325000e+02 4.250000e+01
2.700000e-01 6.000000e+02 2.003000e+02 3.000000e+02 4.410000e+01 2.000000e+02 1.354000e+02 4.320000e+01
2.750000e-01 6.000000e+02 2.022000e+02 3.000000e+02 4.490000e+01 2.000000e+02 1.333000e+02 4.330000e+01
2.800000e-01 6.000000e+02 2.008000e+02 3.000000e+02 4.420000e+01 2.000000e+02 1.324000e+02 4.420000e+01
2.850000e-01 6.000000e+02 1.997000e+02 3.000000e+02 4.160000e+01 2.000000e+02 1.314000e+02 4.410000e+01
2.900000e-01 6.000000e+02 2.003000e+02 3.000000e+02 4.200000e+01 2.000000e+02 1.298000e+02 4.660000e+01
2.950000e-01 6.000000e+02 2.013000e+02 3.000000e+02 4.500000e+01 2.000000e+02 1.284000e+02 4.780000e+01
3.000000e-01 6.000000e+02 2.039000e+02 3.000000e+02 4.460000e+01 2.000000e+02 1.319000e+02 4.500000e+01
3.050000e-01 6.000000e+02 2.001000e+02 3.000000e+02 4.330000e+01 2.000000e+02 1.322000e+02 4.420000e+01
3.100000e-01 6.000000e+02 2.044000e+02 3.000000e+02 4.470000e+01 2.000000e+02 1.307000e+02 4.660000e+01
3.150000e-01 6.000000e+02 2.020000e+02 3.000000e+02 4.170000e+01 2.000000e+02 1.342000e+02 4.380000e+01
3.200000e-01 6.000000e+02 2.041000e+02 3.000000e+02 3.990000e+01 2.000000e+02 1.312000e+02 4.780000e+01
